Student_ID,Study_Hours,Sleep_Hours,Participation,Previous_Grade,Internet_Usage,Health_Condition,Attendance_Percentage
1,5,7,High,75,3,Good,82
2,3,6,Medium,60,5,Average,65
3,6,8,High,85,2,Good,90
4,2,5,Low,50,6,Poor,55
5,4,7,Medium,70,4,Good,75
6,7,8,High,88,2,Good,92
7,1,5,Low,45,7,Poor,50
8,5,6,Medium,72,3,Average,78
9,6,7,High,80,2,Good,88
10,2,6,Low,55,6,Poor,60
11,4,7,Medium,68,4,Average,72
12,6,8,High,90,2,Good,95
13,3,6,Medium,62,5,Average,67
14,7,8,High,85,2,Good,91
15,2,5,Low,48,6,Poor,53
16,5,7,Medium,74,3,Good,80
17,6,8,High,89,2,Good,94
18,1,5,Low,40,7,Poor,45
19,4,6,Medium,65,4,Average,70
20,7,8,High,92,2,Good,96
21,5,7,High,78,3,Good,84
22,3,6,Medium,60,5,Average,66
23,6,8,High,86,2,Good,91
24,2,5,Low,52,6,Poor,57
25,4,7,Medium,71,4,Good,76
26,7,8,High,90,2,Good,95
27,1,5,Low,43,7,Poor,48
28,5,6,Medium,73,3,Average,79
29,6,7,High,82,2,Good,89
30,2,6,Low,56,6,Poor,61
31,4,7,Medium,69,4,Average,73
32,6,8,High,91,2,Good,96
33,3,6,Medium,63,5,Average,68
34,7,8,High,87,2,Good,92
35,2,5,Low,49,6,Poor,54
36,5,7,Medium,75,3,Good,81
37,6,8,High,90,2,Good,95
38,1,5,Low,41,7,Poor,46
39,4,6,Medium,66,4,Average,71
40,7,8,High,93,2,Good,97
41,5,7,High,79,3,Good,85
42,3,6,Medium,61,5,Average,67
43,6,8,High,87,2,Good,92
44,2,5,Low,53,6,Poor,58
45,4,7,Medium,72,4,Good,77
46,7,8,High,91,2,Good,96
47,1,5,Low,44,7,Poor,49
48,5,6,Medium,74,3,Average,80
49,6,7,High,83,2,Good,90
50,2,6,Low,57,6,Poor,62
51,7,9,High,92,1,Good,97
52,3,5,Low,57,6,Poor,62
53,5,7,Medium,76,3,Good,82
54,6,8,High,85,2,Good,91
55,2,5,Low,54,6,Poor,58
56,4,6,Medium,68,4,Average,73
57,7,8,High,88,2,Good,93
58,3,6,Medium,66,5,Average,71
59,5,7,High,79,3,Good,86
60,6,8,High,84,2,Good,90
61,2,5,Low,52,6,Poor,57
62,4,6,Medium,71,4,Average,75
63,7,9,High,93,1,Good,97
64,3,5,Low,58,6,Poor,63
65,5,7,Medium,77,3,Good,83
